runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-zh-29BT,3,9500,19.922944,0.543,0.543,0.543,0.516
1p46G-gemma-commoncrawl-zh-29BT,4,0,0.0,0.491,0.491,0.491,0.492
1p46G-gemma-commoncrawl-zh-29BT,4,1000,2.097152,0.519,0.519,0.519,0.508
1p46G-gemma-commoncrawl-zh-29BT,4,10000,20.97152,0.53,0.53,0.53,0.534
1p46G-gemma-commoncrawl-zh-29BT,4,10500,22.020096,0.531,0.531,0.531,0.529
1p46G-gemma-commoncrawl-zh-29BT,4,11000,23.068672,0.524,0.524,0.524,0.524
1p46G-gemma-commoncrawl-zh-29BT,4,11500,24.117248,0.523,0.523,0.523,0.523
1p46G-gemma-commoncrawl-zh-29BT,4,12000,25.165824,0.524,0.524,0.524,0.521
1p46G-gemma-commoncrawl-zh-29BT,4,12500,26.2144,0.533,0.533,0.533,0.533
1p46G-gemma-commoncrawl-zh-29BT,4,13000,27.262976,0.518,0.518,0.518,0.508
1p46G-gemma-commoncrawl-zh-29BT,4,13500,28.311552,0.526,0.526,0.526,0.519
1p46G-gemma-commoncrawl-zh-29BT,4,14000,29.360128,0.53,0.53,0.53,0.515
1p46G-gemma-commoncrawl-zh-29BT,4,1500,3.145728,0.534,0.534,0.534,0.508
1p46G-gemma-commoncrawl-zh-29BT,4,2000,4.194304,0.516,0.516,0.516,0.524
1p46G-gemma-commoncrawl-zh-29BT,4,2500,5.24288,0.509,0.509,0.509,0.511
1p46G-gemma-commoncrawl-zh-29BT,4,3000,6.291456,0.53,0.53,0.53,0.519
1p46G-gemma-commoncrawl-zh-29BT,4,3500,7.340032,0.519,0.519,0.519,0.503
1p46G-gemma-commoncrawl-zh-29BT,4,4000,8.388608,0.534,0.534,0.534,0.512
1p46G-gemma-commoncrawl-zh-29BT,4,4500,9.437184,0.518,0.518,0.518,0.508
1p46G-gemma-commoncrawl-zh-29BT,4,500,1.048576,0.539,0.539,0.539,0.506
1p46G-gemma-commoncrawl-zh-29BT,4,5000,10.48576,0.522,0.522,0.522,0.515
1p46G-gemma-commoncrawl-zh-29BT,4,5500,11.534336,0.542,0.542,0.542,0.536
1p46G-gemma-commoncrawl-zh-29BT,4,6000,12.582912,0.531,0.531,0.531,0.505
1p46G-gemma-commoncrawl-zh-29BT,4,6500,13.631488,0.534,0.534,0.534,0.501
1p46G-gemma-commoncrawl-zh-29BT,4,7000,14.680064,0.529,0.529,0.529,0.52
1p46G-gemma-commoncrawl-zh-29BT,4,7500,15.72864,0.554,0.554,0.554,0.511
1p46G-gemma-commoncrawl-zh-29BT,4,8000,16.777216,0.549,0.549,0.549,0.53
1p46G-gemma-commoncrawl-zh-29BT,4,8500,17.825792,0.511,0.511,0.511,0.51
1p46G-gemma-commoncrawl-zh-29BT,4,9000,18.874368,0.528,0.528,0.528,0.523
1p46G-gemma-commoncrawl-zh-29BT,4,9500,19.922944,0.52,0.52,0.52,0.54
1p46G-gemma-commoncrawl-zh-29BT,6,0,0.0,0.536,0.536,0.536,0.52
1p46G-gemma-commoncrawl-zh-29BT,6,1000,2.097152,0.518,0.518,0.518,0.499
1p46G-gemma-commoncrawl-zh-29BT,6,10000,20.97152,0.522,0.522,0.522,0.555
1p46G-gemma-commoncrawl-zh-29BT,6,10500,22.020096,0.521,0.521,0.521,0.536
1p46G-gemma-commoncrawl-zh-29BT,6,11000,23.068672,0.53,0.53,0.53,0.545
1p46G-gemma-commoncrawl-zh-29BT,6,11500,24.117248,0.519,0.519,0.519,0.553
1p46G-gemma-commoncrawl-zh-29BT,6,12000,25.165824,0.532,0.532,0.532,0.552
1p46G-gemma-commoncrawl-zh-29BT,6,12500,26.2144,0.528,0.528,0.528,0.551
1p46G-gemma-commoncrawl-zh-29BT,6,13000,27.262976,0.527,0.527,0.527,0.552
1p46G-gemma-commoncrawl-zh-29BT,6,13500,28.311552,0.523,0.523,0.523,0.53
1p46G-gemma-commoncrawl-zh-29BT,6,14000,29.360128,0.522,0.522,0.522,0.552
1p46G-gemma-commoncrawl-zh-29BT,6,1500,3.145728,0.514,0.514,0.514,0.52
1p46G-gemma-commoncrawl-zh-29BT,6,2000,4.194304,0.528,0.528,0.528,0.516
1p46G-gemma-commoncrawl-zh-29BT,6,2500,5.24288,0.525,0.525,0.525,0.516
1p46G-gemma-commoncrawl-zh-29BT,6,3000,6.291456,0.526,0.526,0.526,0.524
1p46G-gemma-commoncrawl-zh-29BT,6,3500,7.340032,0.516,0.516,0.516,0.55
1p46G-gemma-commoncrawl-zh-29BT,6,4000,8.388608,0.521,0.521,0.521,0.513
1p46G-gemma-commoncrawl-zh-29BT,6,4500,9.437184,0.531,0.531,0.531,0.51
1p46G-gemma-commoncrawl-zh-29BT,6,500,1.048576,0.51,0.51,0.51,0.505
1p46G-gemma-commoncrawl-zh-29BT,6,5000,10.48576,0.527,0.527,0.527,0.509
1p46G-gemma-commoncrawl-zh-29BT,6,5500,11.534336,0.555,0.555,0.555,0.539
1p46G-gemma-commoncrawl-zh-29BT,6,6000,12.582912,0.533,0.533,0.533,0.53
1p46G-gemma-commoncrawl-zh-29BT,6,6500,13.631488,0.537,0.537,0.537,0.523
1p46G-gemma-commoncrawl-zh-29BT,6,7000,14.680064,0.531,0.531,0.531,0.54
1p46G-gemma-commoncrawl-zh-29BT,6,7500,15.72864,0.534,0.534,0.534,0.515
1p46G-gemma-commoncrawl-zh-29BT,6,8000,16.777216,0.537,0.537,0.537,0.537
1p46G-gemma-commoncrawl-zh-29BT,6,8500,17.825792,0.524,0.524,0.524,0.525
1p46G-gemma-commoncrawl-zh-29BT,6,9000,18.874368,0.525,0.525,0.525,0.528
1p46G-gemma-commoncrawl-zh-29BT,6,9500,19.922944,0.526,0.526,0.526,0.555
1p46G-gemma-helios-zh-29BT,6,0,0.0,0.536,0.536,0.536,0.52
1p46G-gemma-helios-zh-29BT,6,1000,2.097152,0.514,0.514,0.514,0.499
1p46G-gemma-helios-zh-29BT,6,10000,20.97152,0.546,0.546,0.546,0.546
1p46G-gemma-helios-zh-29BT,6,10500,22.020096,0.539,0.539,0.539,0.534
1p46G-gemma-helios-zh-29BT,6,11000,23.068672,0.539,0.539,0.539,0.5690000000000001
1p46G-gemma-helios-zh-29BT,6,11500,24.117248,0.543,0.543,0.543,0.555
1p46G-gemma-helios-zh-29BT,6,12000,25.165824,0.529,0.529,0.529,0.558
1p46G-gemma-helios-zh-29BT,6,12500,26.2144,0.555,0.555,0.555,0.5690000000000001
