runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.518,0.482,0.482,0.547
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.517,0.484,0.483,0.5650000000000001
baseline-ar-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.518,0.494,0.484,0.481
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.487,0.482,0.482,0.47700000000000004
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.627,0.497,0.486,0.71
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.615,0.486,0.483,0.704
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.64,0.483,0.482,0.681
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.631,0.485,0.483,0.664
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.662,0.482,0.482,0.685
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.676,0.484,0.482,0.657
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.653,0.482,0.482,0.6990000000000001
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.6880000000000001,0.482,0.482,0.634
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.6900000000000001,0.483,0.482,0.609
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.59,0.482,0.482,0.518
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.518,0.487,0.483,0.546
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.518,0.481,0.482,0.52
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.553,0.481,0.482,0.6000000000000001
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.581,0.482,0.482,0.622
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.521,0.485,0.482,0.602
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.615,0.482,0.482,0.617
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.514,0.485,0.48,0.517
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.656,0.482,0.482,0.579
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.767,0.483,0.483,0.736
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.641,0.482,0.482,0.613
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.5680000000000001,0.482,0.482,0.627
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.641,0.482,0.482,0.716
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.56,0.487,0.483,0.667
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.582,0.482,0.482,0.604
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.595,0.484,0.482,0.659
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.652,0.482,0.482,0.6920000000000001
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.641,0.482,0.482,0.663
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.518,0.494,0.484,0.481
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.551,0.484,0.484,0.51
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.622,0.484,0.483,0.715
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.6000000000000001,0.483,0.483,0.592
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.595,0.483,0.482,0.673
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.597,0.482,0.482,0.682
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.5680000000000001,0.483,0.483,0.631
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.628,0.482,0.482,0.561
1p46G-gemma-orion-ar-29BT,6,13000,27.262976,0.5760000000000001,0.482,0.483,0.603
1p46G-gemma-orion-ar-29BT,6,13500,28.311552,0.539,0.484,0.483,0.5710000000000001
1p46G-gemma-orion-ar-29BT,6,14000,29.360128,0.548,0.484,0.483,0.648
1p46G-gemma-orion-ar-29BT,6,1500,3.145728,0.518,0.492,0.483,0.495
1p46G-gemma-orion-ar-29BT,6,2000,4.194304,0.506,0.482,0.482,0.47900000000000004
1p46G-gemma-orion-ar-29BT,6,2500,5.24288,0.538,0.484,0.484,0.584
1p46G-gemma-orion-ar-29BT,6,3000,6.291456,0.633,0.482,0.482,0.583
1p46G-gemma-orion-ar-29BT,6,3500,7.340032,0.523,0.502,0.49,0.615
1p46G-gemma-orion-ar-29BT,6,4000,8.388608,0.551,0.484,0.484,0.651
1p46G-gemma-orion-ar-29BT,6,4500,9.437184,0.546,0.489,0.488,0.586
1p46G-gemma-orion-ar-29BT,6,500,1.048576,0.518,0.46,0.47700000000000004,0.515
1p46G-gemma-orion-ar-29BT,6,5000,10.48576,0.533,0.485,0.485,0.588
1p46G-gemma-orion-ar-29BT,6,5500,11.534336,0.587,0.484,0.484,0.561
1p46G-gemma-orion-ar-29BT,6,6000,12.582912,0.52,0.483,0.484,0.579
1p46G-gemma-orion-ar-29BT,6,6500,13.631488,0.539,0.486,0.484,0.528
1p46G-gemma-orion-ar-29BT,6,7000,14.680064,0.536,0.483,0.483,0.541
1p46G-gemma-orion-ar-29BT,6,7500,15.72864,0.625,0.483,0.482,0.54
1p46G-gemma-orion-ar-29BT,6,8000,16.777216,0.654,0.482,0.482,0.648
1p46G-gemma-orion-ar-29BT,6,8500,17.825792,0.558,0.482,0.482,0.591
1p46G-gemma-orion-ar-29BT,6,9000,18.874368,0.647,0.483,0.482,0.559
1p46G-gemma-orion-ar-29BT,6,9500,19.922944,0.583,0.483,0.482,0.712
1p46G-gemma-commoncrawl-ar-29BT,3,0,0.0,0.518,0.445,0.443,0.47400000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,1000,2.097152,0.516,0.484,0.484,0.47000000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,10000,20.97152,0.516,0.503,0.49,0.524
1p46G-gemma-commoncrawl-ar-29BT,3,10500,22.020096,0.517,0.505,0.495,0.499
1p46G-gemma-commoncrawl-ar-29BT,3,11000,23.068672,0.515,0.51,0.497,0.507
1p46G-gemma-commoncrawl-ar-29BT,3,11500,24.117248,0.516,0.495,0.485,0.516
1p46G-gemma-commoncrawl-ar-29BT,3,12000,25.165824,0.515,0.512,0.49,0.487
1p46G-gemma-commoncrawl-ar-29BT,3,12500,26.2144,0.515,0.487,0.484,0.504
1p46G-gemma-commoncrawl-ar-29BT,3,13000,27.262976,0.518,0.507,0.496,0.513
1p46G-gemma-commoncrawl-ar-29BT,3,13500,28.311552,0.516,0.513,0.494,0.52
1p46G-gemma-commoncrawl-ar-29BT,3,14000,29.360128,0.517,0.532,0.51,0.498
1p46G-gemma-commoncrawl-ar-29BT,3,1500,3.145728,0.516,0.483,0.486,0.5
1p46G-gemma-commoncrawl-ar-29BT,3,2000,4.194304,0.516,0.47500000000000003,0.483,0.508
1p46G-gemma-commoncrawl-ar-29BT,3,2500,5.24288,0.518,0.521,0.504,0.522
1p46G-gemma-commoncrawl-ar-29BT,3,3000,6.291456,0.517,0.498,0.492,0.498
1p46G-gemma-commoncrawl-ar-29BT,3,3500,7.340032,0.518,0.488,0.488,0.482
1p46G-gemma-commoncrawl-ar-29BT,3,4000,8.388608,0.535,0.482,0.483,0.506
1p46G-gemma-commoncrawl-ar-29BT,3,4500,9.437184,0.516,0.489,0.483,0.495
1p46G-gemma-commoncrawl-ar-29BT,3,500,1.048576,0.48,0.482,0.482,0.486
1p46G-gemma-commoncrawl-ar-29BT,3,5000,10.48576,0.529,0.485,0.481,0.487
1p46G-gemma-commoncrawl-ar-29BT,3,5500,11.534336,0.519,0.488,0.483,0.486
1p46G-gemma-commoncrawl-ar-29BT,3,6000,12.582912,0.528,0.483,0.482,0.502
1p46G-gemma-commoncrawl-ar-29BT,3,6500,13.631488,0.518,0.504,0.494,0.501
1p46G-gemma-commoncrawl-ar-29BT,3,7000,14.680064,0.518,0.493,0.481,0.497
1p46G-gemma-commoncrawl-ar-29BT,3,7500,15.72864,0.517,0.5670000000000001,0.546,0.524
1p46G-gemma-commoncrawl-ar-29BT,3,8000,16.777216,0.508,0.482,0.483,0.494
1p46G-gemma-commoncrawl-ar-29BT,3,8500,17.825792,0.519,0.491,0.489,0.481
1p46G-gemma-commoncrawl-ar-29BT,3,9000,18.874368,0.52,0.492,0.486,0.483
1p46G-gemma-commoncrawl-ar-29BT,3,9500,19.922944,0.514,0.485,0.483,0.51
1p46G-gemma-aquila-ar-29BT,6,0,0.0,0.518,0.494,0.484,0.481
1p46G-gemma-aquila-ar-29BT,6,1000,2.097152,0.52,0.483,0.482,0.522
1p46G-gemma-aquila-ar-29BT,6,10000,20.97152,0.502,0.512,0.499,0.46900000000000003
1p46G-gemma-aquila-ar-29BT,6,10500,22.020096,0.47900000000000004,0.485,0.482,0.464
1p46G-gemma-aquila-ar-29BT,6,11000,23.068672,0.49,0.49,0.49,0.505
1p46G-gemma-aquila-ar-29BT,6,11500,24.117248,0.503,0.495,0.49,0.527
1p46G-gemma-aquila-ar-29BT,6,12000,25.165824,0.518,0.512,0.495,0.548
1p46G-gemma-aquila-ar-29BT,6,12500,26.2144,0.485,0.53,0.513,0.47600000000000003
1p46G-gemma-aquila-ar-29BT,6,13000,27.262976,0.514,0.491,0.492,0.497
1p46G-gemma-aquila-ar-29BT,6,13500,28.311552,0.48,0.492,0.491,0.45
1p46G-gemma-aquila-ar-29BT,6,14000,29.360128,0.517,0.509,0.494,0.535
1p46G-gemma-aquila-ar-29BT,6,1500,3.145728,0.613,0.482,0.482,0.628
1p46G-gemma-aquila-ar-29BT,6,2000,4.194304,0.5660000000000001,0.481,0.481,0.518
1p46G-gemma-aquila-ar-29BT,6,2500,5.24288,0.669,0.482,0.482,0.522
1p46G-gemma-aquila-ar-29BT,6,3000,6.291456,0.589,0.483,0.483,0.536
1p46G-gemma-aquila-ar-29BT,6,3500,7.340032,0.546,0.485,0.484,0.542
1p46G-gemma-aquila-ar-29BT,6,4000,8.388608,0.53,0.482,0.482,0.583
1p46G-gemma-aquila-ar-29BT,6,4500,9.437184,0.5690000000000001,0.484,0.483,0.534
1p46G-gemma-aquila-ar-29BT,6,500,1.048576,0.517,0.518,0.5,0.536
1p46G-gemma-aquila-ar-29BT,6,5000,10.48576,0.557,0.483,0.483,0.625
1p46G-gemma-aquila-ar-29BT,6,5500,11.534336,0.622,0.482,0.482,0.626
1p46G-gemma-aquila-ar-29BT,6,6000,12.582912,0.543,0.486,0.484,0.731
1p46G-gemma-aquila-ar-29BT,6,6500,13.631488,0.522,0.5,0.487,0.558
1p46G-gemma-aquila-ar-29BT,6,7000,14.680064,0.522,0.535,0.5,0.537
1p46G-gemma-aquila-ar-29BT,6,7500,15.72864,0.52,0.497,0.491,0.489
1p46G-gemma-aquila-ar-29BT,6,8000,16.777216,0.524,0.486,0.483,0.594
1p46G-gemma-aquila-ar-29BT,6,8500,17.825792,0.512,0.483,0.481,0.5650000000000001
1p46G-gemma-aquila-ar-29BT,6,9000,18.874368,0.516,0.488,0.482,0.554
1p46G-gemma-aquila-ar-29BT,6,9500,19.922944,0.52,0.546,0.524,0.552
1p46G-gemma-commoncrawl-ar-29BT,4,0,0.0,0.518,0.5650000000000001,0.594,0.522
1p46G-gemma-commoncrawl-ar-29BT,4,1000,2.097152,0.512,0.486,0.482,0.526
1p46G-gemma-commoncrawl-ar-29BT,4,10000,20.97152,0.618,0.483,0.482,0.524
1p46G-gemma-commoncrawl-ar-29BT,4,10500,22.020096,0.5630000000000001,0.483,0.483,0.527
1p46G-gemma-commoncrawl-ar-29BT,4,11000,23.068672,0.53,0.483,0.483,0.514
1p46G-gemma-commoncrawl-ar-29BT,4,11500,24.117248,0.515,0.483,0.482,0.51
